response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
Jesse doesnt know about the hot dog stand,0,0,0,0,1,0,0,0,0,
brooklyn took the loger route because they are sporty,0,0,1,0,0,0,0,0,0,
taylor is sporty so wated to take a longer route,0,0,1,0,0,0,0,0,0,?
charlie knows the area well so took a short route to the pizza stand,0,0,0,0,1,0,0,0,0,
adrian doesnt know the area well so took a longer route,0,0,0,0,1,0,0,0,0,
He knew the hot dog van was shut.,0,0,0,0,1,0,0,1,0,?
They don't know the area well,0,0,0,0,1,0,0,0,0,
He fancied a hot dog and knew the area well.,0,1,0,0,1,0,0,0,0,
The pizza van was shut,0,0,0,0,0,0,0,1,0,
He was too hungry to explore the area for different foods,0,0,0,0,0,0,1,0,0,
The hot dog van was shut,0,0,0,0,0,0,0,1,0,
He wanted some exercise before eating,0,0,0,1,0,0,0,0,0,
He wanted some exercise before eating,0,0,0,1,0,0,0,0,0,
"Adrian doesn't like hot dogs, and got lost walking around the area",1,0,0,0,0,0,0,1,0,?
Brooklyn decided to go on a jog and ended up finding the hot dog place.,0,0,1,0,0,0,0,1,0,?
Taylor may have wanted a longer jog so ran past the hot dog place and ended up getting pizza instead.,0,0,0,1,0,0,0,0,0,
"Parker likes hot dogs, and he was closer to the hot dog place, so was motivated by his laziness and like of hot dogs.",1,0,1,0,0,0,0,0,0,
"Jesse didnt know there were hot dogs because they dont know the area well, so chose the option they could see.",0,0,0,0,1,1,0,0,0,
Drew prefers hot dogs or maybe wanted a longer jog.,1,0,0,1,0,0,0,0,0,
Harper didnt know how to get to the hot dog place so ended up going the long way around.,0,0,0,0,1,0,0,0,0,
Charlie prefers pizza.,1,0,0,0,0,0,0,0,0,
she doesn't know the area well but wanted hot dogs as they're her favourite,1,0,0,0,1,0,0,0,0,
his favourite food is hot dogs and he wanted some exercise,1,0,0,1,0,0,0,0,0,
parker wanted pizza and a walk,0,1,0,1,0,0,0,0,0,
he was hungry and knew the pizza stand was closer,0,0,0,0,1,0,1,0,1,
Drew prefers hot dogs to pizza,1,0,0,0,0,0,0,0,0,
they prefer hot dogs,1,0,0,0,0,0,0,0,0,
brooklyn wanted pizza rather than a hotdog,0,1,0,0,0,0,0,0,0,
adrian thoughts pizza was closest,0,0,0,0,1,0,0,0,1,? Closest
Taylor wanted to exercise,0,0,0,1,0,0,0,0,0,
"Because he knows where the stand is, and hotdogs are his favourite",1,0,0,0,1,0,0,0,0,
Adrian got lost.,0,0,0,0,0,0,0,1,0,?
simply that he see's a hotdog stand is close,0,0,0,0,0,1,0,0,1,
He likes hotdogs! and maybe is in a rush,1,0,0,0,0,0,0,1,0,
"Harper doesnt like Pizza, so decided to look for something else",1,0,0,0,0,0,0,0,0,
Jessie fancied a change. Also slightly further away tha hotdog so good for exercise (even though he didnt know),0,1,0,0,1,0,0,0,0,
Drew wanted to exercise so took the long route,0,0,0,1,0,0,0,0,0,
They took the longer route as they are sporty,0,0,1,0,0,0,0,0,0,
"Their favourite food is hotdogs, so they went to the hotdogs",1,0,0,0,0,0,0,0,0,
Took the long route as they are sporty and may not like hotdogs,1,0,1,0,0,0,0,0,0,
initially wanted hotdogs but decided against it,0,1,0,0,0,0,1,0,0,? Changed their mind
Doesn't know the area well and so took the shortest route to the pizza that they could already see,0,0,0,0,1,1,0,0,1,
knew there was pizza there but decided to continue to hotdogs,0,0,0,0,1,0,1,0,0,?
don't know the area so took long route to get to hotdogs as they didn't know it was there,0,0,0,0,1,0,0,0,0,
they wanted hotdogs,0,1,0,0,0,0,0,0,0,
