,subject_id,cb,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
1,2qyx86efes,0,10%,50%,80%,50%,job,0,1,0,1,The candidate did not demonstrate skill B,NA,,d2
4,2qyx86efes,0,50%,10%,50%,80%,job,0,0,0,1,The candidate did not have skill B,NA,,d1
7,2qyx86efes,1,80%,50%,10%,70%,job,1,0,0,1,The candidate did not demonstrate skill A,NA,,d4
10,2qyx86efes,0,10%,70%,80%,50%,cook,0,1,1,1,The dessert impressed the panel,NA,,d3
13,2qyx86efes,1,80%,50%,10%,50%,job,1,1,0,1,The candidate did not demonstrate skill A,NA,,d6
16,2qyx86efes,1,50%,80%,50%,10%,group,0,1,0,0,The postdoc did not talk about the paper,NA,,c2
19,2qyx86efes,1,80%,50%,10%,70%,job,1,1,1,1,The candidate demonstrated skill B,NA,,d7
22,2qyx86efes,1,80%,50%,10%,50%,group,0,0,0,0,The lecturer did not attend,NA,,c1
25,2qyx86efes,0,10%,70%,80%,50%,job,1,1,0,0,The candidate did not demonstrate skill A,NA,,c4
28,2qyx86efes,0,10%,50%,80%,50%,job,1,1,1,0,The candidate demonstrated skill A,NA,,c5
31,2qyx86efes,0,10%,50%,80%,50%,group,1,0,1,1,The lecturer talked about the paper,NA,,d5
34,2qyx86efes,0,10%,70%,80%,50%,job,1,0,0,0,The candidate did not have skill B,NA,,c3
38,840f1ghp1u,0,10%,70%,80%,50%,group,0,1,0,0,The postdoc did not talk about the paper,NA,,c2
41,840f1ghp1u,1,80%,50%,10%,70%,group,1,1,0,0,The lecturer did not talk about the paper,NA,,c4
44,840f1ghp1u,1,50%,80%,50%,10%,group,0,0,0,1,The lecturer did not attend,NA,,d1
47,840f1ghp1u,1,80%,50%,10%,50%,group,1,1,1,0,The lecturer talked about the paper,NA,,c5
50,840f1ghp1u,0,10%,50%,80%,50%,job,1,0,0,1,The candidate did not demonstrate skill A,NA,,d4
