"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","structure","ans"
"1","04blkmpfl2",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not have skill A","d4","disjunctive",2
"2","04blkmpfl2",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7
"3","04blkmpfl2",0,"10%","70%","80%","50%","job",0,1,0,0,"The candidate did not demonstrate skill B","c2","conjunctive",8
"4","04blkmpfl2",0,"10%","70%","80%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5","conjunctive",3
"5","04blkmpfl2",1,"50%","80%","50%","10%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"6","04blkmpfl2",1,"50%","80%","50%","10%","cook",0,1,1,1,"The dessert impressed the panel","d3","disjunctive",7
"7","04blkmpfl2",0,"50%","10%","50%","80%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"8","04blkmpfl2",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","conjunctive",4
"9","04blkmpfl2",0,"50%","10%","50%","80%","cook",0,0,0,1,"The chef did not complete the dessert","d1","disjunctive",6
"10","04blkmpfl2",1,"80%","50%","10%","50%","cook",1,1,0,1,"The chef did not complete the dessert","d6","disjunctive",6
"11","04blkmpfl2",0,"10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3","conjunctive",6
"12","04blkmpfl2",1,"50%","80%","50%","10%","cook",0,1,0,1,"The chef did not complete the main dish","d2","disjunctive",2
"13","1h8woo3055",1,"80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend","d1","disjunctive",2
"14","1h8woo3055",1,"50%","80%","50%","10%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","conjunctive",4
"15","1h8woo3055",0,"50%","10%","50%","80%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8
"16","1h8woo3055",0,"50%","10%","50%","80%","cook",1,1,0,0,"The dessert did not impress the panel","c4","conjunctive",8
"17","1h8woo3055",0,"10%","70%","80%","50%","cook",0,1,1,1,"The dessert impressed the panel","d3","disjunctive",7
"18","1h8woo3055",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"19","1h8woo3055",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"20","1h8woo3055",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7
"21","1h8woo3055",0,"50%","10%","50%","80%","cook",1,1,0,1,"The dessert did not impress the panel","d6","disjunctive",8
"22","1h8woo3055",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1","conjunctive",6
"23","1h8woo3055",1,"50%","80%","50%","10%","job",0,1,0,0,"The candidate did not have skill A","c2","conjunctive",2
"24","1h8woo3055",0,"10%","50%","80%","50%","group",1,1,1,0,"The postdoc talked about the paper","c5","conjunctive",7
"25","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",0,1,1,1,"The chef completed the dessert","d3","disjunctive",5
"26","1j9j1sn5oo",1,"80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish","d5","disjunctive",1
"27","1j9j1sn5oo",0,"50%","10%","50%","80%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","conjunctive",4
"28","1j9j1sn5oo",1,"80%","50%","10%","70%","group",0,0,0,0,"The lecturer did not attend","c1","conjunctive",2
"29","1j9j1sn5oo",1,"80%","50%","10%","50%","job",1,1,1,0,"The candidate had skill A","c5","conjunctive",1
"30","1j9j1sn5oo",0,"10%","70%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6","disjunctive",8
"31","1j9j1sn5oo",1,"80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend","d1","disjunctive",2
"32","1j9j1sn5oo",1,"50%","80%","50%","10%","cook",0,1,0,1,"The dessert did not impress the panel","d2","disjunctive",8
"33","1j9j1sn5oo",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","conjunctive",4
"34","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4
"35","1j9j1sn5oo",0,"50%","10%","50%","80%","cook",1,1,1,1,"The dessert impressed the panel","d7","disjunctive",7
"36","1j9j1sn5oo",1,"50%","80%","50%","10%","group",0,1,0,0,"The postdoc did not talk about the paper","c2","conjunctive",8
"37","1nc1mtxtfj",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5","disjunctive",3
"38","1nc1mtxtfj",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4
"39","1nc1mtxtfj",0,"50%","10%","50%","80%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2","disjunctive",8
"40","1nc1mtxtfj",1,"80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish","d1","disjunctive",2
"41","1nc1mtxtfj",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4
