"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","probgroup","ans","isPerm","anscb","ansVar","ansVar2","ansVar3"
"1","2qyx86efes",0,"10%","50%","80%","50%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"2","2qyx86efes",1,"80%","50%","10%","50%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"3","2qyx86efes",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1","1",2,TRUE,6,"B","B","B=0"
"4","2qyx86efes",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill A","c5","1",3,TRUE,3,"Au","Au=1","Au=1"
"5","2qyx86efes",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"6","840f1ghp1u",1,"80%","50%","10%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"7","840f1ghp1u",0,"10%","50%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4","1",4,TRUE,4,"Au","Au=0","Au=0"
"8","840f1ghp1u",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"9","840f1ghp1u",0,"10%","50%","80%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","1",2,TRUE,2,"A","A","A=0"
"10","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"11","840f1ghp1u",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"12","840f1ghp1u",1,"80%","50%","10%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","1",7,TRUE,3,"Au","Au=1","Au=1"
"13","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","1",8,TRUE,4,"Au","Au=0","Au=0"
"14","8xukceoqq5",1,"80%","50%","10%","50%","cook",0,1,0,1,"The main dish did not impress the panel","d2","1",4,FALSE,8,"Bu","Bu=0","Bu=0"
"15","8xukceoqq5",0,"10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6","1",4,TRUE,4,"Au","Au=0","Au=0"
"16","8xukceoqq5",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"17","8xukceoqq5",0,"10%","50%","80%","50%","group",0,0,0,1,"The postdoc did not attend","d1","1",6,TRUE,6,"B","B","B=0"
"18","8xukceoqq5",0,"10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3","1",6,TRUE,6,"B","B","B=0"
"19","9daxphva6d",0,"10%","50%","80%","50%","group",1,0,0,1,"The postdoc did not attend","d4","1",6,TRUE,6,"B","B","B=0"
"20","9daxphva6d",1,"80%","50%","10%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5","1",7,TRUE,3,"Au","Au=1","Au=1"
"21","9daxphva6d",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not attend","c4","1",2,FALSE,2,"A","A","A=0"
"22","9daxphva6d",0,"10%","50%","80%","50%","group",0,0,0,1,"The postdoc did not attend","d1","1",6,TRUE,6,"B","B","B=0"
"23","9daxphva6d",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","1",2,TRUE,6,"B","B","B=0"
"24","9daxphva6d",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"25","xpy8oy64la",0,"10%","50%","80%","50%","job",1,0,0,1,"The candidate demonstrated skill A","d4","1",3,FALSE,3,"Au","Au=1","Au=1"
"26","xpy8oy64la",0,"10%","50%","80%","50%","group",0,0,0,0,"The postdoc did not attend","c1","1",6,TRUE,6,"B","B","B=0"
"27","04blkmpfl2",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not have skill A","d4","1",2,FALSE,6,"B","B","B=0"
"28","04blkmpfl2",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"29","04blkmpfl2",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","1",4,TRUE,4,"Au","Au=0","Au=0"
"30","04blkmpfl2",1,"80%","50%","10%","50%","cook",1,1,0,1,"The chef did not complete the dessert","d6","1",6,FALSE,2,"A","A","A=0"
"31","04blkmpfl2",0,"10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3","1",6,TRUE,6,"B","B","B=0"
"32","0s7n13606c",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","1",2,TRUE,6,"B","B","B=0"
"33","0s7n13606c",0,"10%","50%","80%","50%","job",0,0,0,0,"The candidate did not have skill A","c1","1",2,TRUE,2,"A","A","A=0"
"34","1h8woo3055",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","1",6,TRUE,6,"B","B","B=0"
"35","1h8woo3055",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"36","1h8woo3055",0,"10%","50%","80%","50%","group",1,1,1,0,"The postdoc talked about the paper","c5","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"37","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",0,1,1,1,"The chef completed the dessert","d3","1",5,TRUE,5,"B","B","B=1"
"38","1j9j1sn5oo",1,"80%","50%","10%","50%","job",1,1,1,0,"The candidate had skill A","c5","1",1,TRUE,5,"B","B","B=1"
"39","1j9j1sn5oo",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"40","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",1,0,0,1,"The main dish did not impress the panel","d4","1",4,TRUE,4,"Au","Au=0","Au=0"
"41","1nc1mtxtfj",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"42","1nc1mtxtfj",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"43","1nc1mtxtfj",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"44","1rvc938bgx",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"45","1rvc938bgx",0,"10%","50%","80%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","1",2,TRUE,2,"A","A","A=0"
"46","1rvc938bgx",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","1",2,TRUE,6,"B","B","B=0"
"47","1rvc938bgx",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2","1",2,TRUE,2,"A","A","A=0"
"48","1t3ulnfryj",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","1",2,TRUE,6,"B","B","B=0"
"49","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"50","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"51","1t3ulnfryj",0,"10%","50%","80%","50%","group",0,1,1,1,"The lecturer did not attend","d3","1",2,FALSE,2,"A","A","A=0"
"52","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"53","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,0,0,0,"The candidate did not demonstrate skill A","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"54","1vcyogm763",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"55","1vcyogm763",1,"80%","50%","10%","50%","job",0,0,0,0,"The candidate did not have skill A","c1","1",2,TRUE,6,"B","B","B=0"
"56","25wwusqaw5",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"57","25wwusqaw5",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate had skill A","d5","1",1,TRUE,5,"B","B","B=1"
"58","25wwusqaw5",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","1",6,TRUE,6,"B","B","B=0"
"59","25wwusqaw5",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"60","26n2v9lxvr",0,"10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"61","26n2v9lxvr",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1","1",2,TRUE,6,"B","B","B=0"
"62","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"63","26n2v9lxvr",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"64","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"65","26n2v9lxvr",1,"80%","50%","10%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"66","27kggoq9fn",0,"10%","50%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"67","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","1",4,TRUE,4,"Au","Au=0","Au=0"
"68","27kggoq9fn",0,"10%","50%","80%","50%","cook",0,1,0,1,"The chef did not complete the main dish","d2","1",2,TRUE,2,"A","A","A=0"
"69","27kggoq9fn",1,"80%","50%","10%","50%","group",1,1,1,0,"The postdoc attended","c5","1",5,TRUE,1,"A","A","A=1"
"70","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","1",6,TRUE,6,"B","B","B=0"
"71","28a82zjbor",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1","1",6,TRUE,6,"B","B","B=0"
"72","28a82zjbor",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","1",2,TRUE,6,"B","B","B=0"
"73","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1","1",2,TRUE,2,"A","A","A=0"
"74","2clh6uy0q9",1,"80%","50%","10%","50%","cook",0,1,0,0,"The dessert did not impress the panel","c2","1",8,TRUE,4,"Au","Au=0","Au=0"
"75","2clh6uy0q9",0,"10%","50%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","1",3,TRUE,3,"Au","Au=1","Au=1"
"76","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"77","39esuh175d",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef completed the main dish","c1","1",1,FALSE,5,"B","B","B=1"
"78","39esuh175d",0,"10%","50%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"79","39esuh175d",0,"10%","50%","80%","50%","cook",0,0,0,1,"The main dish did not impress the panel","d1","1",4,FALSE,4,"Au","Au=0","Au=0"
"80","39esuh175d",1,"80%","50%","10%","50%","group",1,1,0,0,"The postdoc did not talk about the paper","c4","1",8,TRUE,4,"Au","Au=0","Au=0"
"81","39esuh175d",0,"10%","50%","80%","50%","group",0,1,0,1,"The lecturer did not talk about the paper","d2","1",4,FALSE,4,"Au","Au=0","Au=0"
"82","3d1927fqoo",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"83","3d1927fqoo",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","1",2,TRUE,6,"B","B","B=0"
"84","3d1927fqoo",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1","1",2,TRUE,2,"A","A","A=0"
"85","3d1927fqoo",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"86","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,4,"Au","Au=0","Au=0"
"87","3f3ze8b0ln",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","1",2,TRUE,6,"B","B","B=0"
"88","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","1",2,TRUE,2,"A","A","A=0"
"89","3f3ze8b0ln",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"90","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","1",3,TRUE,3,"Au","Au=1","Au=1"
"91","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"92","3fptwaqomn",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"93","3kd166nsn4",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","1",2,TRUE,6,"B","B","B=0"
"94","3kd166nsn4",1,"80%","50%","10%","50%","group",1,0,0,0,"The postdoc did not attend","c3","1",6,TRUE,2,"A","A","A=0"
"95","3kd166nsn4",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
