"","subject_id","cb","prob0","prob1","prob2","prob3","structure","trialtype","ans","ansVar","ansVar2","node3","isPerm","isCoh","pgroup","pgorig","isLat","realLat","connectedWith"
"1","04blkmpfl2",0,"10%","50%","80%","50%","disjunctive","d7",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1","1",TRUE,TRUE,"B"
"2","04blkmpfl2",0,"10%","70%","80%","50%","conjunctive","c2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3","3",TRUE,TRUE,"B"
"3","04blkmpfl2",0,"10%","70%","80%","50%","conjunctive","c5",3,"Au","Au=1","Au=1",TRUE,TRUE,"3","3",TRUE,FALSE,"A"
"4","04blkmpfl2",0,"50%","10%","50%","80%","conjunctive","c1",2,"A","A","A=0",TRUE,TRUE,"2","2",FALSE,FALSE,"A"
"5","04blkmpfl2",0,"10%","50%","80%","50%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,TRUE,"A"
"6","04blkmpfl2",0,"50%","10%","50%","80%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"2","2",FALSE,FALSE,"B"
"7","04blkmpfl2",0,"10%","50%","80%","50%","conjunctive","c3",6,"B","B","B=0",TRUE,TRUE,"1","1",FALSE,FALSE,"B"
"8","1h8woo3055",0,"50%","10%","50%","80%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2","2",TRUE,FALSE,"B"
"9","1h8woo3055",0,"50%","10%","50%","80%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2","2",TRUE,TRUE,"B"
"10","1h8woo3055",0,"10%","70%","80%","50%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"3","3",TRUE,FALSE,"B"
"11","1h8woo3055",0,"10%","50%","80%","50%","disjunctive","d4",6,"B","B","B=0",TRUE,TRUE,"1","1",FALSE,FALSE,"B"
"12","1h8woo3055",0,"10%","50%","80%","50%","disjunctive","d7",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1","1",TRUE,TRUE,"B"
"13","1h8woo3055",0,"50%","10%","50%","80%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2","2",TRUE,FALSE,"B"
"14","1h8woo3055",0,"10%","70%","80%","50%","conjunctive","c1",6,"B","B","B=0",TRUE,TRUE,"3","3",FALSE,FALSE,"B"
"15","1h8woo3055",0,"10%","50%","80%","50%","conjunctive","c5",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1","1",TRUE,FALSE,"B"
"16","1j9j1sn5oo",0,"10%","50%","80%","50%","disjunctive","d3",5,"B","B","B=1",TRUE,TRUE,"1","1",FALSE,FALSE,"B"
"17","1j9j1sn5oo",0,"50%","10%","50%","80%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"2","2",TRUE,TRUE,"A"
"18","1j9j1sn5oo",0,"10%","70%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3","3",TRUE,FALSE,"B"
"19","1j9j1sn5oo",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,TRUE,"A"
"20","1j9j1sn5oo",0,"10%","50%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,FALSE,"A"
"21","1j9j1sn5oo",0,"50%","10%","50%","80%","disjunctive","d7",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2","2",TRUE,TRUE,"B"
"22","1nc1mtxtfj",0,"10%","50%","80%","50%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"1","1",TRUE,FALSE,"A"
"23","1nc1mtxtfj",0,"50%","10%","50%","80%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2","2",TRUE,FALSE,"B"
"24","1nc1mtxtfj",0,"10%","70%","80%","50%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"3","3",TRUE,FALSE,"B"
"25","1nc1mtxtfj",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,TRUE,"A"
"26","1nc1mtxtfj",0,"50%","10%","50%","80%","conjunctive","c5",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2","2",TRUE,FALSE,"B"
"27","1nc1mtxtfj",0,"50%","10%","50%","80%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"2","2",TRUE,TRUE,"A"
"28","1nc1mtxtfj",0,"10%","70%","80%","50%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"3","3",TRUE,TRUE,"A"
"29","1rvc938bgx",0,"10%","70%","80%","50%","disjunctive","d4",8,"Bu","Bu=0","Bu=0",FALSE,TRUE,"3","3",TRUE,TRUE,"B"
"30","1rvc938bgx",0,"50%","10%","50%","80%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"2","2",TRUE,TRUE,"A"
"31","1rvc938bgx",0,"10%","50%","80%","50%","disjunctive","d1",2,"A","A","A=0",TRUE,TRUE,"1","1",FALSE,FALSE,"A"
"32","1rvc938bgx",0,"10%","50%","80%","50%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"1","1",FALSE,FALSE,"A"
"33","1rvc938bgx",0,"10%","70%","80%","50%","conjunctive","c3",6,"B","B","B=0",TRUE,TRUE,"3","3",FALSE,FALSE,"B"
"34","1t3ulnfryj",0,"10%","50%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1","1",TRUE,FALSE,"B"
"35","1t3ulnfryj",0,"10%","50%","80%","50%","disjunctive","d3",2,"A","A","A=0",FALSE,TRUE,"1","1",FALSE,FALSE,"A"
"36","1t3ulnfryj",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,TRUE,"A"
"37","1vcyogm763",0,"10%","70%","80%","50%","disjunctive","d4",1,"A","A","A=1",FALSE,TRUE,"3","3",FALSE,FALSE,"A"
"38","1vcyogm763",0,"50%","10%","50%","80%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2","2",TRUE,FALSE,"B"
"39","1vcyogm763",0,"50%","10%","50%","80%","conjunctive","c3",5,"B","B","B=1",FALSE,FALSE,"2","2",FALSE,FALSE,"B"
"40","1vcyogm763",0,"10%","70%","80%","50%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"3","3",FALSE,FALSE,"B"
"41","1vcyogm763",0,"10%","70%","80%","50%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"3","3",FALSE,FALSE,"A"
"42","1vcyogm763",0,"10%","70%","80%","50%","disjunctive","d6",4,"Au","Au=0","Au=0",TRUE,TRUE,"3","3",TRUE,FALSE,"A"
"43","25wwusqaw5",0,"10%","70%","80%","50%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"3","3",FALSE,FALSE,"B"
"44","25wwusqaw5",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1","1",TRUE,TRUE,"A"
"45","25wwusqaw5",0,"10%","70%","80%","50%","conjunctive","c1",6,"B","B","B=0",TRUE,TRUE,"3","3",FALSE,FALSE,"B"
"46","25wwusqaw5",0,"50%","10%","50%","80%","disjunctive","d7",5,"B","B","B=1",TRUE,TRUE,"2","2",FALSE,FALSE,"B"
"47","25wwusqaw5",0,"10%","50%","80%","50%","disjunctive","d4",6,"B","B","B=0",TRUE,TRUE,"1","1",FALSE,FALSE,"B"
"48","26n2v9lxvr",0,"10%","50%","80%","50%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1","1",TRUE,FALSE,"B"
