"","mindsCode","tag","response","index"
"1","M043484","t011111","Drew wanted a hot dog and chose to take the long route for exercise",113
"2","M043484","t101100","Jesse didn't know how far the hot dog stand was, so decided to choose pizza when they found it.",114
"3","M043484","t001110","Brooklyn decided that he wanted hot dogs that day",115
"4","M043484","t110010","Parker took the quickest route to their favourite food stand",116
"5","M043484","t010000","Charlie chose the food stand closest to them",117
"6","M043484","t000001","Adrian really wanted pizza and so continued until he found it.",118
"7","M043484","t100011","Harper was keen on having hot dogs. He continued to walk until he could find them.",119
"8","M043484","t111101","Taylor wanted more exercise and decided that he wanted pizza that day.",120
"9","M701443","t111000","Taylor just wanted Pizza today despite his favourite Hot Dog stand being around the corner.",433
"10","M701443","t110101","Parker didn't notice he walked by the hot dog stand and was too lazy to go back.",434
"11","M701443","t001001","Brooklyn didn't know what he wanted so took the long way round to decide.",435
"12","M701443","t011010","Drew wanted a hotdog",436
"13","M701443","t100110","Harper wanted a hot dog and could see the stand from where they were",437
"14","M701443","t101111","Jesse doesn't know where he is going so ends up going the long way around to find the hot dog stand",438
"15","M701443","t000100","Adrian was walking to find something to eat and the first stand he found was the pizza stand.",439
"16","M701443","t010011","Charlie wanted a hot dog over pizza today,",440
"17","M481805","t001011","he didnt fancy pizza",1249
"18","M481805","t100000","got the first thing because lazy",1250
"19","M481805","t010101","wanted to exercise",1251
"20","M481805","t011100","wanted pizza",1252
"21","M481805","t101001","hot dog place was closed",1253
"22","M481805","t111010","wanted hot dogs as their favourite food",1254
"23","M481805","t110111","wanted to exercise",1255
"24","M481805","t000110","chose the closest (visible) option",1256
