filename,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,link,age,gender,duration_s,duration,duration_m,rowNo,type,stim1,stim2,stim3,stim4,pageBreak,stimFormat,responseType,responsePos,responseOptions,button1,subjectGroup,randomBlock,head,body,pageName,note1,ITI_ms,timestamp,response,RT,responseCode
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,38,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,14,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Adrian. Adrian doesn't know the area well and is lazy.",ADL,,59568,2|3|3|3,8419,2|3|3|3
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,34,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,10,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Harper. Harper's favourite food is hotdogs. They don't know the area well and are lazy.",FDL,,67151,3|4|5|5,7075,3|4|5|5
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,32,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,8,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Charlie. Charlie knows the area well and is lazy.",AKL,,73800,3|4|5|4,6140,3|4|5|4
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,28,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,4,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Parker. Parker's favourite food is hotdogs. They know the area well and are lazy.",FKL,,80576,3|4|4|3,6268,3|4|4|3
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,26,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,2,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Harper. Harper's favourite food is hotdogs. They don't know the area well and are lazy.",FDL,,87007,"3|4|7 (very likely)|4",5923,3|4|7|4
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,30,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,6,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Adrian. Adrian doesn't know the area well and is lazy.",ADL,,94033,4|3|5|5,6517,4|3|5|5
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,25,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,1,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Jesse.  Jesse's favourite food is hotdogs. They don't know the area well and are sporty.",FDS,,101599,3|5|2|3,7059,3|5|2|3
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,29,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,5,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Brooklyn. Brooklyn doesn't know the area well and is sporty.",ADS,,110040,2|4|4|3,7931,2|4|4|3
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,40,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,16,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Charlie. Charlie knows the area well and is lazy.",AKL,,116681,3|4|6|5,6133,3|4|6|5
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,39,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,15,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Drew. Drew knows the area well and is sporty.",AKS,,120151,4|4|NA|NA,2964,4|4|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,37,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,13,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Brooklyn. Brooklyn doesn't know the area well and is sporty.",ADS,,122007,NA|NA|NA|NA,1348,0|0|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,31,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,7,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Drew. Drew knows the area well and is sporty.",AKS,,123963,NA|NA|NA|NA,1448,0|0|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,33,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,9,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Jesse.  Jesse's favourite food is hotdogs. They don't know the area well and are sporty.",FDS,,125807,NA|NA|NA|NA,1332,0|0|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,36,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,12,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Parker. Parker's favourite food is hotdogs. They know the area well and are lazy.",FKL,,127567,NA|NA|NA|NA,1251,0|0|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,27,form,"ANL end","ANS end","APL end","APS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,3,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Taylor. Taylor's favourite food is hotdogs. They know the area well and are sporty.",FKS,,129323,NA|NA|NA|NA,1248,0|0|0|0
430495_230123_072251.csv,2,Chrome,109.0.0.0,1536,864,Windows,ro-RO,2023-01-23_07:20:41,2023-01-23_09:20:41,2023-01-23_07:20:34,,https://www.testable.org/experiment/6826/430495/start,33,woman,133.059,131447,2.1907,35,form,"BPL end","BPS end","BNL end","BNS end",1,.png,dropdown,below,"1 (not likely);2;3;4;5;6;7 (very likely)",NEXT,2,11,"They go for a walk and stop to eat at a food truck. Remember they cannot see through the houses or round a corner.","Where do you think they will go? Show how likely each path is by rating each between 1 (not likely at all) and 7 (very likely).","This is Taylor. Taylor's favourite food is hotdogs. They know the area well and are sporty.",FKS,,131447,NA|NA|NA|NA,1612,0|0|0|0
